# Rank (– (overall ligand ranking)), Ligand (Ligand identifier), Vina-Bind_Score (Vina-Bind_Score), pose_centroid_x (Å (X-coords of ligand centroid)), pose_centroid_y (Å (Y-coords of ligand centroid)), pose_centroid_z (Å (Z-coords of ligand centroid)), boltz_affinity (boltz_affinity), boltz_confidence (0–1 (higher = more confident ML docking pose)), pocket_alignment_Score (0–0.5 (higher = better pocket alignment via MaSIF)), SMILES (Canonical SMILES string), MolWt (g/mol), LogP (log10 (P_octanol/water)), TPSA (Å² (topological polar surface area)), RotatableBonds (count), HBD (hydrogen bond donors), HBA (hydrogen bond acceptors), AromaticRings (count), FractionCSP3 (0–1 (sp³ C saturation)), QED (0–1 (drug-likeness)), HeavyAtomCount (count), HeteroAtomCount (count), RingCount (count), AliphaticRings (count), MR (cm³/mol (molar refractivity)), SA_Score (1–10 (synthetic accessibility; lower = easier synthesis)), FormalCharge (integer charge), ESOL_LogS (predicted log10(solubility [mol/L])), Lipinski_OK (Lipinski rule of five), Veber_OK (TPSA/rotatable-bond rule), Egan_OK (Egan absorption rule), BBB_rule (blood–brain barrier permeability), vina_rank (ascending rank (lower = better)), boltz_rank (descending rank (higher = better))
Rank,Ligand,Vina-Bind_Score,pose_centroid_x,pose_centroid_y,pose_centroid_z,boltz_affinity,boltz_confidence,pocket_alignment_Score,SMILES,MolWt,LogP,TPSA,RotatableBonds,HBD,HBA,AromaticRings,FractionCSP3,QED,HeavyAtomCount,HeteroAtomCount,RingCount,AliphaticRings,MR,SA_Score,FormalCharge,ESOL_LogS,Lipinski_OK,Veber_OK,Egan_OK,BBB_rule,vina_rank,boltz_rank
80,cyclopropyl_benzamidine,-6.14,5.43,17.33,23.66,0.8,0.82,0.14,NC(=N)c1ccc(C2CC2)cc1,160.22,1.85,49.87,2.0,2.0,1.0,1.0,0.3,0.5,12.0,2.0,2.0,1.0,49.43,3.66,0.0,-1.06,True,True,True,True,71.0,105.0
81,allyl_benzamidine,-6.1,3.87,15.88,22.71,0.83,0.81,0.1,NC(=N)c1ccc(CC=C)cc1,160.22,1.7,49.87,3.0,2.0,1.0,1.0,0.1,0.39,12.0,2.0,1.0,0.0,51.36,3.68,0.0,-1.06,True,True,True,True,71.0,110.0
82,dinitro_benzamidine,-5.92,3.57,16.83,18.56,0.95,0.93,0.02,NC(=N)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,210.15,0.79,136.15,3.0,2.0,5.0,1.0,0.0,0.33,15.0,8.0,1.0,0.0,50.77,4.1,0.0,-1.56,True,True,False,False,82.0,23.0
83,sulfonyl_benzamidine,-6.04,4.67,16.71,24.01,0.97,0.93,0.14,NC(=N)c1ccc(S(=O)(=O))cc1,184.22,-0.06,84.01,2.0,3.0,3.0,1.0,0.0,0.34,12.0,5.0,1.0,0.0,46.04,3.62,0.0,-1.3,True,True,True,False,82.0,23.0
84,tertbutyl_benzamidine,-6.02,3.53,16.55,22.78,0.97,0.92,0.12,NC(=N)c1ccc(C(C)(C)C)cc1,176.26,2.27,49.87,1.0,2.0,1.0,1.0,0.36,0.5,13.0,2.0,1.0,0.0,56.16,3.75,0.0,-1.22,True,True,True,True,82.0,36.0
85,diethylamino_benzamidine,-5.94,2.11,15.69,20.11,0.97,0.92,0.04,NC(=N)c1ccc(N(CC)CC)cc1,191.28,1.82,53.11,4.0,2.0,2.0,1.0,0.36,0.56,14.0,3.0,1.0,0.0,61.02,3.99,0.0,-1.37,True,True,True,True,82.0,47.0
86,bromo_hydroxy_benzamidine,-6.12,4.15,17.82,27.84,0.97,0.86,0.22,NC(=N)c1cc(Br)c(O)cc1,215.05,1.44,70.1,1.0,3.0,2.0,1.0,0.0,0.49,11.0,4.0,1.0,0.0,46.82,3.52,0.0,-1.61,True,True,True,True,82.0,85.0
87,sulfamoyl_benzamidine,-5.96,2.83,16.54,20.09,0.91,0.86,0.06,NC(=N)c1ccc(S(=O)(=O)N)cc1,199.24,-0.38,110.03,2.0,3.0,3.0,1.0,0.0,0.45,13.0,6.0,1.0,0.0,48.83,3.78,0.0,-1.45,True,True,True,False,82.0,85.0
88,vinyl_benzamidine,-5.91,2.72,15.43,23.79,0.97,0.94,0.11,NC(=N)c1ccc(C=C)cc1,146.19,1.61,49.87,2.0,2.0,1.0,1.0,0.0,0.48,11.0,2.0,1.0,0.0,47.55,3.48,0.0,-0.92,True,True,True,True,88.0,3.0
89,methoxy_benzamidine,-5.91,1.63,14.96,24.97,0.98,0.93,0.11,NC(=N)c1ccc(OC)cc1,150.18,0.98,59.1,2.0,2.0,2.0,1.0,0.12,0.49,11.0,3.0,1.0,0.0,44.01,3.48,0.0,-0.96,True,True,True,True,88.0,8.0
90,ethoxy_benzamidine,-5.97,3.25,16.59,25.61,0.97,0.93,0.17,NC(=N)c1ccc(OCC)cc1,164.21,1.37,59.1,3.0,2.0,2.0,1.0,0.22,0.52,12.0,3.0,1.0,0.0,48.63,3.68,0.0,-1.1,True,True,True,True,88.0,31.0
91,ethyl_benzamidine,-5.86,2.1,16.54,19.84,0.97,0.93,0.06,NC(=N)c1ccc(CC)cc1,148.21,1.53,49.87,2.0,2.0,1.0,1.0,0.22,0.48,11.0,2.0,1.0,0.0,46.84,3.48,0.0,-0.94,True,True,True,True,88.0,31.0
92,propargyl_benzamidine,-5.84,0.87,15.9,19.85,0.98,0.93,0.04,NC(=N)c1ccc(CC,,,,,,,,,,,,,,,,,,,,,,,
93,hydroxy_ethoxy_benzamidine,-5.92,0.6,15.88,23.49,0.97,0.92,0.12,NC(=N)c1cc(O)cc(OCC)c1,180.21,1.07,79.33,3.0,3.0,3.0,1.0,0.22,0.48,13.0,4.0,1.0,0.0,50.29,3.91,0.0,-1.26,True,True,True,True,88.0,36.0
94,methylsulfinyl_benzamidine,-5.98,3.84,17.09,25.13,0.91,0.89,0.18,NC(=N)c1ccc(S(=O)C)cc1,182.25,0.71,66.94,2.0,2.0,2.0,1.0,0.12,0.52,12.0,4.0,1.0,0.0,49.79,3.65,0.0,-1.28,True,True,True,True,88.0,70.0
95,formyl_benzamidine,-5.95,4.17,16.3,25.73,0.92,0.85,0.15,NC(=N)c1ccc(C=O)cc1,148.16,0.78,66.94,2.0,2.0,2.0,1.0,0.0,0.37,11.0,3.0,1.0,0.0,42.85,3.48,0.0,-0.94,True,True,True,True,88.0,90.0
96,sulfonamide4_benzamidine,-5.9,2.21,15.27,23.51,0.82,0.84,0.1,NC(=N)c1ccc(S(=O)(=O)N)cc1,199.24,-0.38,110.03,2.0,3.0,3.0,1.0,0.0,0.45,13.0,6.0,1.0,0.0,48.83,3.78,0.0,-1.45,True,True,True,False,88.0,98.0
97,difluoromethyl_benzamidine,-5.96,5.31,17.89,23.84,0.9,0.82,0.16,NC(=N)c1ccc(CF)cc1,152.17,1.44,49.87,2.0,2.0,1.0,1.0,0.12,0.49,11.0,3.0,1.0,0.0,42.27,3.48,0.0,-0.98,True,True,True,True,88.0,108.0
98,fluoro_benzamidine,-6.04,2.77,18.81,24.34,0.86,0.81,0.24,NC(=N)c1ccc(F)cc1,138.14,1.11,49.87,1.0,2.0,1.0,1.0,0.0,0.44,10.0,3.0,1.0,0.0,37.42,3.28,0.0,-0.84,True,True,True,True,88.0,110.0
99,hydroxy_methoxy_benzamidine,-5.89,5.26,17.7,29.03,0.97,0.93,0.19,NC(=N)c1cc(O)cc(OC)c1,166.18,0.68,79.33,2.0,3.0,3.0,1.0,0.12,0.45,12.0,4.0,1.0,0.0,45.67,3.7,0.0,-1.12,True,True,True,True,99.0,11.0
100,ethylthio_benzamidine,-5.84,3.5,15.69,25.89,0.97,0.93,0.14,NC(=N)c1ccc(SCC)cc1,180.28,2.08,49.87,3.0,2.0,2.0,1.0,0.22,0.42,12.0,3.0,1.0,0.0,53.86,3.68,0.0,-1.26,True,True,True,True,99.0,18.0
101,methyl_benzamidine,-5.78,3.91,16.28,21.3,0.98,0.93,0.08,NC(=N)c1ccc(C)cc1,134.18,1.28,49.87,1.0,2.0,1.0,1.0,0.12,0.44,10.0,2.0,1.0,0.0,42.2,3.28,0.0,-0.8,True,True,True,True,99.0,23.0
102,ethynyl_benzamidine,-5.85,4.93,16.38,27.38,0.98,0.92,0.15,NC(=N)c1ccc(C,,,,,,,,,,,,,,,,,,,,,,,
103,chloro_benzamidine,-5.88,5.68,17.41,28.12,0.97,0.92,0.18,NC(=N)c1ccc(Cl)cc1,154.6,1.62,49.87,1.0,2.0,1.0,1.0,0.0,0.47,10.0,3.0,1.0,0.0,42.47,3.28,0.0,-1.01,True,True,True,True,99.0,54.0
104,thiomethyl_benzamidine,-5.84,5.15,16.3,28.24,0.88,0.88,0.14,NC(=N)c1ccc(SC)cc1,166.25,1.69,49.87,2.0,2.0,2.0,1.0,0.12,0.4,11.0,3.0,1.0,0.0,49.24,3.48,0.0,-1.12,True,True,True,True,99.0,76.0
105,bis_methyl_benzamidine,-5.94,2.73,20.55,22.5,0.91,0.88,0.24,NC(=N)c1cc(C)cc(C)c1,148.21,1.59,49.87,1.0,2.0,1.0,1.0,0.22,0.46,11.0,2.0,1.0,0.0,46.93,3.43,0.0,-0.94,True,True,True,True,99.0,79.0
106,cyano_benzamidine,-5.84,3.95,16.18,30.84,0.95,0.87,0.14,NC(=N)c1ccc(C,,,,,,,,,,,,,,,,,,,,,,,
107,sulfonyl_fluoride_benzamidine,-5.87,3.62,17.07,24.49,0.84,0.82,0.17,NC(=N)c1ccc(S(=O)(=O)F)cc1,202.21,0.63,84.01,2.0,2.0,3.0,1.0,0.0,0.42,13.0,6.0,1.0,0.0,45.75,3.79,0.0,-1.48,True,True,True,True,99.0,106.0
108,methylsulfonyl_benzamidine,-5.69,2.6,15.92,22.01,0.97,0.93,0.09,NC(=N)c1ccc(S(=O)(=O)C)cc1,198.25,0.37,84.01,2.0,2.0,3.0,1.0,0.12,0.53,13.0,5.0,1.0,0.0,50.57,3.79,0.0,-1.44,True,True,True,True,108.0,23.0
109,neopentyl_benzamidine,-5.68,4.19,16.97,20.64,0.97,0.92,0.08,NC(=N)c1ccc(CC(C)(C)C)cc1,190.29,2.56,49.87,2.0,2.0,1.0,1.0,0.42,0.55,14.0,2.0,1.0,0.0,60.62,3.95,0.0,-1.36,True,True,True,True,108.0,40.0
110,bromo_benzamidine,-5.62,2.36,15.57,24.45,0.97,0.91,0.12,NC(=N)c1ccc(Br)cc1,199.05,1.73,49.87,1.0,2.0,1.0,1.0,0.0,0.52,10.0,3.0,1.0,0.0,45.16,3.28,0.0,-1.45,True,True,True,True,110.0,59.0
111,benzamidine,-5.78,1.8,18.99,27.75,0.86,0.85,0.28,NC(=N)c1ccccc1,120.15,0.97,49.87,1.0,2.0,1.0,1.0,0.0,0.42,9.0,2.0,1.0,0.0,37.46,3.2,0.0,-0.66,True,True,True,True,110.0,92.0
112,tertbutoxy_benzamidine,-5.6,4.28,17.04,21.26,0.8,0.8,0.1,NC(=N)c1ccc(OC(C)(C)C)cc1,192.26,2.15,59.1,2.0,2.0,2.0,1.0,0.36,0.56,14.0,3.0,1.0,0.0,57.84,3.95,0.0,-1.38,True,True,True,True,110.0,115.0
113,bis_chloro_benzamidine,-5.52,4.45,16.6,22.74,0.96,0.94,0.12,NC(=N)c1cc(Cl)cc(Cl)c1,189.04,2.28,49.87,1.0,2.0,1.0,1.0,0.0,0.52,11.0,4.0,1.0,0.0,47.48,3.43,0.0,-1.35,True,True,True,True,113.0,5.0
114,dimethoxy_benzamidine,-5.62,0.72,18.95,23.11,0.96,0.93,0.22,NC(=N)c1cc(OC)cc(OC)c1,180.21,0.99,68.33,3.0,2.0,3.0,1.0,0.22,0.54,13.0,4.0,1.0,0.0,50.56,3.79,0.0,-1.26,True,True,True,True,113.0,18.0
115,iodo_benzamidine,-5.5,0.39,14.7,25.02,0.9,0.88,0.1,NC(=N)c1ccc(I)cc1,246.05,1.58,49.87,1.0,2.0,1.0,1.0,0.0,0.44,10.0,3.0,1.0,0.0,50.18,3.28,0.0,-1.92,True,True,True,True,113.0,77.0
116,trimethoxy_benzamidine,-5.38,1.14,15.36,22.26,0.96,0.86,0.08,NC(=N)c1cc(OC)c(OC)c(OC)c1,210.23,1.0,77.56,4.0,2.0,4.0,1.0,0.3,0.57,15.0,5.0,1.0,0.0,57.11,4.1,0.0,-1.56,True,True,True,True,116.0,89.0
117,nicotinamide,-5.29,6.35,18.4,27.21,0.93,0.92,0.19,NC(=O)C1=CN=CC=C1,122.13,0.18,55.98,1.0,1.0,2.0,1.0,0.0,0.58,9.0,3.0,1.0,0.0,32.75,3.31,0.0,-0.68,True,True,True,True,117.0,47.0
118,aspirin,-5.01,3.42,16.9,18.09,0.86,0.9,0.01,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.31,63.6,2.0,1.0,3.0,1.0,0.11,0.55,13.0,4.0,1.0,0.0,44.71,3.85,0.0,-1.26,True,True,True,True,118.0,65.0
119,caffeine,-4.76,3.41,16.15,20.34,0.78,0.87,0.06,Cn1cnc2c1c(=O)n(C)c(=O)n2C,194.19,-1.03,61.82,0.0,0.0,6.0,2.0,0.38,0.54,14.0,6.0,2.0,0.0,51.2,3.98,0.0,-1.4,True,True,True,False,119.0,82.0
